Pincode,Count,Cities,Recommendation
412115,3,Pune,Monitor — block if count reaches 3
562130,3,Bengaluru,Monitor — block if count reaches 3
303007,2,Jaipur,Monitor — block if count reaches 3
382355,2,Ahmedabad,Monitor — block if count reaches 3
382330,2,Ahmedabad,Monitor — block if count reaches 3
455001,2,Indore,Monitor — block if count reaches 3
412205,2,Pune,Monitor — block if count reaches 3
560087,2,Bengaluru,Monitor — block if count reaches 3
562110,2,Bengaluru,Monitor — block if count reaches 3
562123,2,Bengaluru,Monitor — block if count reaches 3
572130,2,Bengaluru,Monitor — block if count reaches 3
